KLAVOX	250MG/62.5MG/5ML	FL/100 ML	PDRE.P/SUSP
KLAVOX	500MG/125MG	B/20	COMP.
KLAVOX	875MG/125MG	B/14	COMP.PELLI
KLAXIN	250MG	B/10	COMP.
KLONT	250MG	B/20	COMP.
KOLESTINE	20MG	B/30	COMP.PELLI
KOLESTINE	40MG	BTE/30	COMP.PELLI
KONAZOL	1%	T/30G	CRE.DERMIQU
KOPRANIDE ENFANTS ET NOURRISSONS	2.6MG/ML	FL/60ML	SOL.BUV.GTT
KORTIKAN 20	20MG	BTE/20	COMP ORO DI
KOXMA	2MG/5ML	FL/125ML	SIR.
KUTERID	0.05%	T/15 G	CRE.
KUTERID	0.5MG	B/30	COMP.
KYNCEPT	10MG	BTE/30	COMP ORO DI
KYNCEPT	5MG	BTE/30	COMP ORO DI
LACETAM	250MG	BTE/60	COMP.PELLI
LACETAM	500MG	BTE/30	COMP.PELLI.
LACRINORM	0.2%	T/10G	GEL OPHTALM
LACRISIFI	0.5%-010%	FL/10 ML	COLLY.
LACTUGEL	10G/15ML	BT/20 SACHET DE 15ML	SOL.BUV.SAC
LACTULOSE AGD	66.70%	FL/200ML	SOL.BUV.
LACTULOSE LPA	66.70%	FL/200ML	SOL.BUV.
LACTULOSE MERCK	10MG/15ML	B/20 SACHETS DE 15ML	SOL.BUV.SAC
LACTULOSE MYLAN	10G/15MLG/ML	BTE/20 SACHET (15ML)	SOL.BUV.SAC
LACTUMEX	66.5%	FL/150 ML	SOL.BUV.
LACTUNAD	10G/15ML	BTE/20	SOL.BUV.SAC
LACTUPHAL	667MG/ML	FL/200ML	SUSP.BUV.
LADERZONE	0.50MG/ML	FL/30ML	SOL.BUV.GTT
LADOFENAC	100MG	B/20	COMP.
LADOFENAC	50MG	B/20	COMP.
LAMBERIN	250MG/5ML	FL/60 ML	SUSP.BUV.
LAMBERIN	500MG	B/12	GLES.
LAMICTAL	100MG	B/56	COMP.DISPER
LAMICTAL	25MG	B/56	COMP.DISPER
LAMICTAL	5MG	B/28	COMP.DISPER
LAMIDAZ	1%	T/15G	CRE.DERMIQU
LAMIDAZ	250MG	B/20	COMP.
LAMIFENE	20MG/ML	F/125ML	SOL BUV ENF
LAMIKEN	1%	T/15G	CRE.
LAMIKEN	250MG	B/10	COMP.
LAMINOX	1%	FL/30 ML	SOL.P.PULV.
LAMINOX	1%	T/15G	CRE.
LAMINOX	250MG	B/14	COMP.
LAMISIL	1%	T/15 G	CRE.
LAMISIL	250MG	B/14	COMP.
LAMISOLONE	20MG	BTE/20	COMP ORO DI
LAMISOLONE	5MG	BTE/30	COMP ORO DI
LAMITOR 25	25MG	B/60	COMP.
LAMITOR 50	50MG	B/40	COMP.
LAMITRIGINE	100MG	BTE/30	COMP DISP
LAMITRIGINE	25MG	BTE/30	COMP DISP
LAMITRIGINE	50MG	BTE/30	COMP DISP
LAMOGINE	100MG	BTE/30	COMP.
LAMOGINE	25MG	B/30	COMP.
LAMOGINE	50MG	B/30	COMP.
LAMORIG	100MG	BTE/30	COMP.DISPER
LAMORIG	25MG	BTE/30	COMP DISP
LAMORIG	50MG	BTE/30	COMP.DISPER
LAMOTRIGINE BEKER	100MG	BTE/56	COMP.DISPER
LAMOTRIGINE BEKER	25MG	BTE/56	COMP.DISPER
LAMOTRIGINE BEKER	5MG	BTE/30	COMP.DISPER
LAMOXYL	1G	B/14	COMP.DISPER
LAMOXYL	250MG/5MLMG/ML	FL/60ML	PDRE.P/SUSP
LAMOXYL	500MG	B/12	GLES.
LAMOXYL	500MG/5MLMG/ML	FL/60ML	PDRE.P/SUSP
LAMPY	500MG	B/10	GLES.
LANSOPOMP	15MG	BTE/30	GLES.GAST.R
LANSOPOMP	30MG	BTE/30	GLES.GAST.R
LANSOPRAZOLE IVAL	30MG	BTE/15	GLES.
LANSOPROTECT	30MG	BTE/14	GLE.MICRO.G
LANSOPROTECT	30MG	BTE/28	GLES MIC/GR
LANTUS	100UI/ML	B/5 CARTOUCHES 3ML	SOL.INJ.
LANTUS	100UI/ML	FL/10ML	SOL.INJ.
LANTUS OPTISET	100UI/ML	B/5 STYLO PREREMP 3M	SOL.INJ.
LANTUS SOLOSTAR	100UI/ML	B/5 STYLOS PR R 3ML	SOL.INJ.SC.
LANVASA	500MG	BTE/90	COMP.GASTRO
LANZAPREX	10MG	BTE/30	COMP ORO DI
LANZAPREX	10MG	BTE/30	COMP.PELLI
LANZAPREX	5MG	BTE/30	COMP.PELLI
LANZOCID	15MG	BTE/14	GLES MIC/GR
LANZOCID	15MG	BTE/30	GLES MIC/GR
LANZOMED	30MG	BTE/15	GLES.
LANZOMED	30MG	BTE/30	GLES.
LANZOREM	30MG	BTE/15	GLES MIC/GR
LANZOREM	30MG	BTE/15	MICGR GAST
LANZOREM	30MG	BTE/30	GLE.MICRO.G
LARGACTIL	100MG/5ML	B/30	COMP.PELLI
LARGACTIL	4%	FL /30ML	SOL.BUV.GTT
LARGAGTIL	25MG/ML	B/5 AMP	SOL.INJ.
LARGAGTIL	4%	FL/30 ML	SOL.BUV.GTT
LARGAMED 100	100MG	BTE/30	COMP PELL Q
LARIMEL	50MG	BTE/30	COMP.
LARIMEL	50MG	BTE/90	COMP.
LARMES ARTFICIELLES	1.4%/10ML	FL/15 ML	COLLY.
LAROMEX	4%	FL/30 ML	SOLUTION EN
LAROSCORBINE	500MG/5MLMG/ML	B/6	SOL.INJ.
LAROXYL	25MG	B/60	COMP.
LAROXYL	40MG/ML	FL/20 ML	SOLUTE BUV.
LAROXYL	50MG	B/20	COMP.PELLI
LAROXYLINE	25MG	BTE/60	COMP.PELLI
LAROXYLINE	50MG	BTE/20	COMP.PELLI
LASILIX	20MG	B/30	COMP.
LASILIX	40MG	B/20	COMP.SEC.
LASTATINE	10MG	B/28	COMP.
LASTATINE	20MG	BTE/28	COMP.ENRO.
LASYTEQ	20MG	BTE/30	COMP.
LATADUO	0.05MG/5MG/ML	FL/2.5 ML	COLLYRE.SOL
LATANEKS	50G/ML	FL/2.5 ML	COLLY.
LATANOPROST	0.005%(50G/ML)	FL/2.5 ML	COLLYRE.SOL
LATASOPT	0.05MG/ML(0.005%)	FL/2.5ML	COLLYRE.SOL
LATAZ	50G/ML(0.005%)	BTE/1 FL DE 2.5 ML	COLLY.
LATENSIA	150MG	BTE/30	COMP.SEC.
LATIDINE	150MG	B/30	GLES.
LATIDINE	300MG	B/30	GLES.
LATRIGINE	100MG	BTE/30	COMP DISP O
LAVIDA	1MG	B/30	COMP.
LAVIDA	2MG	B/30	COMP.SEC.
LAVIDA	3MG	B/30	COMP.SEC.
LAVIDA	4MG	B/30	COMP.SEC.
LAVIDA	6MG	BTE/30	COMP.SEC.
LAXATOL	10G/15MLG/ML	BTE/20	SOL.BUV.SAC
LAXILAC	10G/15ML	BTE/20	SOL.BUV.
LAXODAD	133G/200MLG/15ML	FL/200 ML	SUSP.BUV.
LEFUMIDE-10	10MG	BTE/30	COMP.PELLI
LEFUMIDE-20	20MG	BTE/30	COMP.PELLI
LEMOD	16MG	B/20	COMP.EFFER.
LEMOD	4MG	B/30	COMP.
LEMOD - DEPO	40MG/1ML	B/1+1	PDRE.SOL.IN
LEMOD SOLU	40MG	B1 FL+LYOPH 1AMP 1ML	LYOPH P.SOL
LEMOD- SOLU	20MGMG/1ML	B/1+1	PDRE.SOL.IN
LENAZAX	2.5MG	BTE/30	COMP.PELLI
LENITRAL	2.5MG	B/60	GLES.
LEOCART LP	2%	FL/10ML CONTENANT3ML	COLLYRE SOL
LEPONEX	100MG	B/30	COMP.
LEPONEX	25MG	B/30	COMP.
LEPTICA	150MG	BTE/60	GLES.
LEPTICA	300MG	BTE/60	GLES.
LEPTICA	50MG	BTE/60	GLES.
LERCA	10MG	BTE/30	COMP.PELLI.
LERCANIDIPINE BEKER	10MG	BTE/30	COMP.PELLI.
LERCANIDIPINE BEKER	10MG	BTE/90	COMP.PELLI.
LESCOL	20MG	B/28	GLES.
LESCOL	40MG	B/28	GLES.
LESCOL XL	80MG	B/28	COMP PELL A
LESLA	10MG	BTE/30	COMP.PELLI
LESTONE	0.5MG/ML(0.05%)	FL/30ML	SOL.BUV.GTT
LESURIC	100MG	BTE/30	COMP.
LESURIC	300MG	BTE/30	COMP.
LETRAGEN	2.5MG	BTE/30	COMP.PELLI
LETRODEX	2.5MG	BTE/30	COMP.PELLI
LETROZOLE CINFA	2.5MG	BTE/30	COMP.PELLI
LETROZOLE UPC	2.5MG	BTE/30	COMP.PELLI
LEVEMIR FLEXPEN	100U/MLUI/ML	B/5 STYLO PREREM 3ML	SUSP.INJ.
LEVEMIR PENFILL	100UI/ML	BTE/5 CARTOUCHE	SOL.INJ CAR
LEVETIRACETAM BEKER	250MG	BTE/60	COMP.PELLI.
LEVETIRACETAM BEKER	500MG	BTE/60	COMP.PELLI.
LEVETIRACETAM LDM	250MG	BTE/60	COMP.PELLI
LEVETIRACETAM LDM	500MG	BTE/30	COMP.PELLI.
LEVETIRACETAM NOVAGENERICS	250MG	BTE/60	COMP.PELLI
LEVOCARB	100MG/10MG	BTE/100	COMP.
LEVOCARB	250MG/25MG	BTE/100	COMP.SEC.
LEVODOZ	250MG/25MG	BTE/100	COMP.SEC.
LEVOFLOX	500MG	BTE/05	COMP.PELLI.
LEVOFLOX	500MG	BTE/10	COMP.PELLI.
LEVOMED	100/10MG	B/100	COMP.
LEVOMED	250/25MG	B/100	COMP.
LEVONON BGL	100MG	BTE/20	COMP.PELLI.
LEVONON BGL	25MG	BTE/20	COMP.PELLI.
LEVONON BGL	40MG/ML	FL/30 ML	SOL.BUV.GTT
LEVOPHTA	0.05%	FL/3 ML	COLLY.
LEVOPHTA	0.05%	FL/5ML	COLLY.
LEVORGICA	5MG	BTE/14	COMP.PELLI
LEVORGICA	5MG	BTE/28	COMP.PELLI
LEVOSPASME	160MG	BTE/10	COMP ORO DI
LEVOSPASME	80MG	BTE/10	COMP ORO DI
LEVOTHYROX	100G	B/28	COMP.
LEVOTHYROX	100G	B/50	COMP.SEC.
LEVOTHYROX	100G	BTE/30	COMP.SEC.
LEVOTHYROX	25G	BTE/28	COMP.SEC.
LEVOTHYROX	25G	BTE/30	COMP.SEC.
LEVOTHYROX	50G	B/28	COMP.
LEVOTHYROX	50G	B/50	COMP.SEC.
LEVOTHYROX	50G	BTE/30	COMP.SEC.
LEVOTHYROX	75G	BTE/28	COMP.SEC.
LEVOTHYROX	75G	BTE/30	COMP.SEC.
LEVOTIRON	100G	B/100	COMP.
LEVOTIRON	100G	BTE/100	COMP.SEC.
LEVOTIRON	25MCG	BTE/100	COMP.SEC.
LEVOTIRON	50MCGOU(50G)	BTE/100	COMP.SEC.
LEVOTIRON	75MCG	BTE/100	COMP.SEC.
LEVOTYNE	1G/10MLG/ML	FL/100ML	SOL.BUV.
LEVOXINE	5MG	BTE/30	COMP.PELLI
LEVOZAN	4%	FL/30ML	SOL.BUV.GTT
LEVOZEN	5MG	BTE/14	COMP.PELLI
LEVOZEN	5MG	BTE/28	COMP.PELLI
LEXIN	1000MG	BTE/12	PDRE.P/SUSP
LEXIN	1G	B/12	COMP.
LEXIN	500MG	B/20	GLES.
LEXIN	500MG	BTE/20	PDRE.P/SUSP
LEXIN 250	250MG/5ML	FL/100ML	SUSP.BUV.
LEXINAL	125MG/5ML	FL/100ML	PDRE.P/SUSP
LEXINAL	1G	BTE/12	COMP.PELLI
LEXINAL	250MG/5ML	FL/100ML	PDRE.P/SUSP
LEXINAL	500MG	BTE/12	COMP.PELLI
LEXINAL	500MG	BTE/20	GLES.
LEXINAL SOPHAL	1G	BTE/12	COMP.PELLI
LEXOMIL	6MG	B/30	COMP.SEC.
LEXOPAM	6MG	BTE/30	COMP QUADRI
LICREASE	12000UI	B/90	GLES.
LIDOCAINE GEO	2%	B/2 FL/25ML	SOL.INJ.
LIDOCAINE GEO	20MG/1ML(2%)MG/ML	B/1 FL / 25ML	SOL.INJ.
LIFEAMPILE	500MG	B/12	GLES.
LIFENYSTIN	100000UI	B/12	COMP.VAGINA
LIFUNOR	2.5MG	BTE/30	COMP.PELLI
LINAPEX	10MG	BTE/30	COMP.PELLI.
LIORESAL	10MG	B/50	COMP.SEC.
LIPANOR	100MG	B/30	GLES.
LIPANTHYL	160MG	B/30	COMP.PELLI
LIPANTHYL	200MG	B/30	GLES MIC/GR
LIPANTHYL MICRONISE 200	200MG	B/30	GLES.
LIPICARE	10MG	B/30	COMP.PELLI
LIPICARE	10MG	B/90	COMP.PELLI
LIPICARE	10MG	BTE/28	COMP.PELLI
LIPICARE	20MG	B/28	COMP.PELLI
LIPICARE	20MG	BTE/30	COMP.PELLI
LIPICARE	20MG	BTE/90	COMP.PELLI
LIPICARE	40MG	B/28	COMP.PELLI
LIPICARE	40MG	B/30	COMP.PELLI
LIPICARE	40MG	BTE/90	COMP.PELLI
LIPICARE	80MG	B/30	COMP.PELLI
LIPICARE	80MG	BTE/28	COMP.PELLI
LIPICARE	80MG	BTE/90	COMP.PELLI
LIPOCARD 200	200MG	BTE/30	GLES.
LIPODAR 10	10MG	B/30	COMP.PELLI
LIPODAR 20	20MG	B/30	COMP.PELLI
LIPOFEN	250MG	B/30	GLES.LP.
LIPOFIBRATE	200MG	B/30	GLES.
LIPONIL	10MG	BTE/30	COMP.PELLI
LIPONIL 20	20MG	BTE30	COMP.PELLI
LIPONIL 40	40MG	BTE/30	COMP.PELLI
LIPONORM	20MG	BTE/28	COMP.PELLI.
LIPOSIC	2MG/1G0.2%	T/10G	GEL OPHTALM
LIPOSTATINE	10MG	BTE/30	COMP.PELLI
LIPOSTATINE	20MG	BTE/30	COMP.PELLI
LIPOVAST 10	10MG	BTE/30	COMP.PELLI
LIPOVAST 20	20MG	BTE/30	COMP.PELLI
LIPOVAST 40	40MG	BTE/30	COMP.PELLI
LIPRAG	150MG	BTE/60	GLES.
LIPRAG	50MG	BTE/60	GLES.
LISAMETACE	40MG	B/1 AMP	SUSP.INJ.
LISAMETHYLE	120MG	B/1	PDRE.SOL.IN
LISAMETHYLE	20MG	B/1+1	PDRE.SOL.IN
LISAMETHYLE	40MG	B/1 AMP DE 2ML	PDRE.SOL.IN
LISAMOX	1G	B/1+1	SOL.INJ.
LISAMOX	500MG	B/1+1	PDRE.SOL.IN
LISATRIAM	40MG/ML	B/1 AMP	SOL.INJ.
LISAVIR	200MG	B/25	COMP.
LISAVIR	5%	T/10G	CRE.DERMIQU
LISINOPRIL IBERAL	20MG	BTE/28	COMP.SEC.
LISINOX	20MG	BTE/14	COMP PELL G
LISINOX	20MG	BTE/28	COMP PELL G
LISINOX	20MG	BTE/7	COMP PELL G
LISINOX	40MG	BTE/14	COMP PELL G
LISINOX	40MG	BTE/28	COMP PELL G
LISINOX	40MG	BTE/7	COMP PELL G
LIVIAL	2.5MG	B/28	COMP.
LIZAM	10MG	B/20	COMP.
LOCACID	0.05%	T/30 G	CRE.
LOCACID	0.10%	FL/15 ML	LOTION
LOCACORT	0.1%	TUBE/30 G	CRE.
LOCADOSE	0.1G/100G	TUBE/30 G	CRE.
LOCAGEL	1%	T/50 G	GEL
LOCAPRED	100MG/100G	T/15 G	CRE.
LOCATOP	0.1%	T/30G	CRE.
LOCAZONE	0.1%(0.1G/100G)	BTE/01 TUBE DE 15G	CRE.DERMIQU
LOCERYL	5%	B/1FL DE 2.5ML+10 SP	SOL APPL LO
LOCOID	0.1%	T/30G	CRE.
LOCOID	0.10%	FL/30ML	LOTION
LOCOID	0.10%	T/30G	PDE.
LOCOID	0.10%	TUBE/30G	CRE.
LOGECINE	250MG	B/20	GLES MIC/GR
LOGYNON	30/0.05G/MG	B/21	COMP.
LOMAC 20	20MG	B/15	GLES.MIC.GA
LOMAZEL	150MG	BTE/01	GLES.
LOMAZEL	50MG	BTE/03	GLES.
LOMIFEN	50MG	BTE/10	COMP.
LOMOH -20	2000UIANTI-XA/0.2ML(20MG/0.2M	B/01	SOL.INJ.SC.
LOMOH -40	4000UIANTI-XA/0.4ML(40MG/0.4M	B/01	SOL.INJ.SC.
LOMOH -60	6000UIANTI-XA/0.6ML(60MG/0.6M	B/01	SOL.INJ.SC.
LOMOH -80	8000UIANTI-XA/0.8ML(80MG/0.8M	B/01	SOL.INJ.SC.
LOMZOLE BGL	20MG	PILULIER DE 14	GLE.MICRO.G
LOPERAMIDA BELMAC	2MG	B/20	GLES.
LOPERAMIDE	2MG	B/20	GLES.
LOPERAMIDE G GAM	2MG	B/20	GLES.
LOPERAMIDE INKEY	2MG	B/20	GLES.
LOPERAMIDE NS	2MG	BTE/20	GLES.
LOPERAMIDE-BIOGARAN	2MG	B/20	GLES.
LOPERAMIDE-INKEY	2MG	B/20	GLES.
LOPEREX	2MG	BTE/20	COMP.
LOPERIDAL	2MG	B/20	GLES.
LOPERIUM	2MG	B/20	GLES.
LOPESTIN	0.2MG/ML	BTE/01 FL DE 90ML	SOL BUV ENF
LOPESTIN	2MG	B/20	GLES.
LOPRESS	100MG	B/30	COMP.PELLI
LOPRESSOR LP	200MG	B/30	COMP.SEC.LP
LOPRIL	25MG	BTE/30	COMP.SEC.
LOPRIL	25MG	BTE/60	COMP.SEC.
LOPRIL	50MG	B/30	COMP.
LOPROX	200MG	BTE/30	COMP.PELL.S
LORADESS	0.5MG/ML	FL/120 ML	SIR.
LORADESS	5MG	B/10	COMP.PELLI
LORADIF	10MG	B/10	COMP.
LORADIF	5MG/5ML	FL/60 ML	SIR.
LORADINE	0.1G/100ML(5MG/CAC)G/ML	FL/100ML	SIR.
LORADINE	10MG	B/14	COMP.
LORADINE	10MG	BTE/20	COMP.
LORADYL	0.1%	FL/90ML	SIR.
LORAM	1MG	B/50	COMP.
LORAM	2.5MG	B/30	COMP.
LORANS	1MG	B/50	COMP.
LORANS	2.5MG	B/30	COMP.
LORATADINE BEKER	10MG	BTE/30	COMP.
LORATADINE CPCM	10MG	B/10	COMP.PELLI
LORATADINE NOVAGENERICS	10MG	BTE/20	COMP.
LORATAN	10MG	B/10	COMP.
LORATAN	10MG	BTE/20	COMP.
LORATAN	10MG	BTE/30	COMP.
LORATAN	5MG/CAC	FL/100 ML	SIR.
LORATINE	10MG	B/20	COMP.
LORATINE	10MG	BTE/30	COMP.
LORATINE	1MG/ML	FL/125 ML	SIR.
LORAX	5MG	B/30	COMP.
LORAZEPAM	1MG	B/50	COMP.
LORAZEPAM	2.5MG	B/30	COMP.
LORAZEPAM AGD	1MG	B/30	COMP QUADRI
LORAZEPAM AGD	2.5MG	B/30	COMP QUADRI
LOREEN	10MG	B/10	COMP.
LORESTA	200MG	BTE/30	COMP.PELL.S
LORID	10MG	B/10	COMP.
LORIXYNE	10MG	BTE/20	COMP.
LORVAST	10MG	BTE/30	COMP.PELLI
LORVAST	20MG	BTE/30	COMP.PELLI
LORVAST	40MG	BTE/30	COMP.PELLI
LORVAST	80MG	BTE/30	COMP.PELLI
LOSAPIL	100MG	BTE/60	COMP.PELLI
LOSAPIL	50MG	BTE/60	COMP.PELLI
LOSARTAN GEO	25MG	BTE/30	COMP.PELLI
LOSARTAN HEMOFARM	100MG	BTE/28	COMP.PELLI
LOSARTAN LDM	100MG	BTE/30	COMP.PELLI
LOSARTAN LDM	50MG	BTE 30	COMP.PELLI.
LOSARTIC	50MG/12.5MG	B/30	COMP.
LOSTAMINE	10MG	B/10	COMP.PELLI
LOSTAMINE	10MG	B/20	COMP.
LOTEN	100MG	B/10	COMP.
LOTENSE	10MG	BTE/30	GLES.
LOTENSE	5MG	B/30	GLES.
LOTEVAN	10MG/160MG	BTE/30	COMP.PELLI
LOTEVAN	5MG/160MG	BTE/30	COMP.PELLI
LOTEVAN	5MG/80MG	BTE/30	COMP.PELLI
LOTIBIOL	10%	FL/180 ML	SOL.DERM.
LOVENOX	100MG/1ML	B/2 SERINGUES PREREM	SOL.INJ.SC.
LOVENOX	20MG/0.2ML	B/2 SERINGUES PR REM	SOL.INJ.SC.
LOVENOX	40MG/0.4ML	B/2 SERINGUES PR REM	SOL.INJ.SC.
LOVENOX	60MG/0.6ML	B/2 SERING AUTO INJE	SOL.INJ.SC.
LOVENOX	80MG/0.8ML	B/2 SERING AUTO INJE	SOL.INJ.SC.
LOVIR	200MG	B/25	COMP.
LOWVASC	5MG	BTE/28	GLES.
LOXANAD	250MG	BTE/10	COMP.PELLI
LOXANAD	500MG	BTE/10	COMP.PELLI.
LOXAPAC	100MG	BTE/30	COMP.
LOXAPAC	25MG	BTE/30	COMP.PELLI
LOXAPAC	25MG/ML	FL/30 ML+PIPETTE	SOL.BUV.
LOXEN	10MG/10ML	B/10	SOL.INJ.
LOXEN	20MG	B/30	COMP.
LOXEN L P	50MG	B/60	GLES.
LOXEN LP	50MG	BTE/60	MICROGRAN L
LOXIDIPINE LP	50MG	BTE/60	MICROG LP E
LOZAR	50MG	B/30	COMP.SEC.
LOZARTAN GEO	50MG	BTE/30	COMP.PELLI
LUDIOMIL	25MG	B/50	COMP.
LUDIOMIL	75MG	B/28	COMP.
LUMERA	0.1MG/ML	FL/3ML	COLLYRE.SOL
LUMERA	0.3MG/ML	FL/3ML	COLLYRE.SOL
LUTEDINE	10MG	B/10	COMP.
LUTEDINE	10MG	B/30	COMP.
LUTENYL	5MG	B/10	COMP.
LUTEROL	5MG	BTE/10	COMP.SEC.
LUVASCOL	40MG	BTE/30	GLES.
LUVASCOL	80MG	BTE/28	COMP.PELL.L
LYNOX	250MG	B/20	COMP.SEC.
LYRICA	100MG	BTE/84	GLES.
LYRICA	150MG	BTE/56	GLES.
LYRICA	150MG	BTE/60	GLES.
LYRICA	25MG	BTE/56	GLES.
LYRICA	300MG	BTE/56	GLES.
LYRICA	50MG	BTE/56	GLES.
LYRICA	75MG	BTE/56	GLES.
LYRIZIN	150MG	BTE/60	GLES.
LYRIZIN	300MG	BTE/60	GLES.
LYRIZIN	50MG	B/60	GLES.
LYRIZIN	75MG	B/60	GLES.
LYSANXIA	10MG	B/40	COMP.
LYSANXIA	15MG/ML	FL/20 ML	SOL.BUV.GTT
LYSOGIC	100MG	B/20	PDRE.OR.
MAALOX	600/525MG	B/30 SACHETS DE 15	SUSP.BUV.
MAALOX MAUX D'ESTOMAC	3.5G/100ML/4G/100ML	FL/250 ML	SUSP.BUV.GO
MAALUS	400/200MG/(10ML)MG/10	FL/200 ML	SUSP.BUV.
MAALUS ASIA	132MG/275MG	B/60	COMP. A CRO
MACROLAX-ISO	10G/SACHET	BTE/20 SACHETS	PDRE SOLUTI
MACROLID	200MG/5ML	FL/60 ML	PDRE.P/SUSP
MADOPAR 250	200MG/50MG(250MG)	B/100	COMP.
MAG +	1.5MG/10ML	FL/200ML	SIR.
MAG 2	1.5G/5MLG/AMP	B/30 AMP	AMP.BUV.
MAGNE	0.75G/5MLG/ML	FL/125ML	SIROP 15%
MAGNE-B6	186/936/10MG	B/10 AMP	AMP.BUV.
MAGNEVIST	46.9G/100ML	FL/10ML	SOL.INJ.
MAGNEVIST	46.9G/100ML	FL/15ML	SOL.INJ.
MAGNEVIST	46.9G/100ML	FL/5ML	SOL.INJ.
MAGNEVIST	469.01MG/ML(0.5MMOL/ML)	FL/20 ML	SOL.INJ.IV.
MAGNO SANOL	250MG	B/30	GLES.
MAGRILAN	20MG	B/30	GLES.
MALTOFER	100ML/2ML	B/5 AMP DE 5 ML	SOL.INJ.
MAMOZOL	2.5MG	BTE/30	COMP.PELLI
MANTIXA	2MG	BTE/30	COMP.SEC.
MANTIXA	4MG	BTE/30	COMP.
MAPEZ	1MG	BTE/30	COMP.SEC.
MAPEZ	2.5MG	BTE/30	COMP.SEC.
MARILON	150G/20G	BTE/21	COMP.
MAROCID	500MG	B/12	COMP.
MAROCID	500MG	B/16	COMP.
MARVELON	0.15MG/0.03MG	B/3 21	COMP.
MAXIDROL	0.1G/350000U	T/3.5 G	PDE.OPHT.
MAXIDROL	100MG/350000UI/600000UI/100ML	FL/3 ML	COLLY.
MAXILODRE	100MG/350000UI/600000UI/100ML	FL/3 ML	COLLY.
MEBANDAN	100MG	B/8	GLUCO.LITR
MEBANDAN	20MG	FL/30 ML	SUSP.BUV.
MEBEVAN LP 200	200MG	BTE/30	GLES MICROG
MEBEVERINE BEKER LP	200MG/GELULE	BTE/30	MICROGRAN L
MEBEVERINE BIOGARAN	100MG	B/20	CAPSULE MOL
MEBEVERINE BIOGARAN	200MG	B/30	GLES.
MEBEVERINE-SAIDAL	100MG	BTE/30	COMP.
MEBEVIS	20MG	FL/80 ML	SUSP.BUV.
MECIR LP	0.4MG	BTE/30	COMP.PELL.L
MEDAZOL	250MG	B/20	COMP.
MEDILIUM	1MG/ML	FL/200 ML	SUSP.BUV.
MEDOCLAZIDE	80MG	B/20	COMP.
MEDOCRIPTINE	2.5MG	B/30	COMP.
MEDOGYL	500MG	BTE/20	COMP.PELLI
MEDOLIN	2MG	B/100	COMP.
MEDOLIN	2MG/5ML	FL/150 ML	SIR.
MEDONEX	50G/DOSE	FL/120 DOSES	SUSP.P.PULV
MEDOSTATINE	20MG	BTE/30	COMP.
MEDOSTATINE	40MG	BTE/10	COMP.
MEDROL	16MG	B/20	COMP.
MEDROL	4MG	B/30	COMP.
MEDYOL	0.5%	FL/10 ML	COLLY.
MEFDOL GS	40MG	BTE/20	COMP.SEC.
MEFESTAN	125MG	BTE/06	SUPPO.
MEFESTAN	250MG	BTE/20	GLES.
MEFESTAN	500MG	BTE/06	SUPPO.
MEFLONIL 200	200G/GLES	B/60	PDRE P/INHA
MEFLOX	500MG	BTE/10	COMP.PELLI
MEFORINE	500MG	B/30	COMP.
MEGACE	160MG	B/30	COMP.
MEGACEF	200MG	BTE/08	PDRE.P/SUSP
MEGAMAG 45MG	400MG	BTE/30	GLES.
MEGAMOX	500MG/125MG	B/20	GLES.
MELADININE	0.10%	FL/24 ML	SOL.
MELADININE	10MG	B/30	COMP.
MELAZA	1G	BTE/120	MICROGR L
MELAZA	1G	BTE/15	SUPPO.
MELAZA	500MG	BTE/15	SUPPO.
MELAZA	500MG	BTE/90	GELUL.MICRO
MELIANE	20G/75G	B/21	COMP.ENRO.
MELLERIL	100MGMG/ML	B/25	COMP.
MELLERIL	10MG	B/25	COMP.ENRO.
MELLERIL	10MG	B/30	COMP.
MELLERIL	2MG/ML	FL/200 ML	SUSP.BUV.
MELLERIL	40MG/ML	FL/30ML	SUSP.BUV.
MELLERIL	40MG/ML	FL/50 ML	SUSP.BUV.
MELLERIL	50MG	B/25	COMP.
MELMET	850MG	BTE/120	COMP.PELLI
MELOX	15MG	BTE/10	COMP.
MELOX	7.5MG	BTE/10	COMP.
MEMANTINE BEKER	10MG	BTE/30	COMP.PELLI.
MEMANTINE BEKER	20MG	BTE/30	COMP.PELLI
MENAELLE	100MG	B/30	CAPS. MOL O
MENODIS	100MG	BTE/16	COMP.PELLI
MENOPUR	75UI	B/5 FL	PDRE SOLV P
MEPRAMIDE	10MG	B/10	SUPPO.
MEPRENAL	20MG/2MLMG/ML	B/1+1	PDRE.SOL.IN
MEPRENAL	40MG/2MLMG/ML	B/1+1	PDRE.SOL.IN
MEPRONOVA	400MG	B/50	COMP.
MEQUITAZINE LOGOGEN	5MG	B/30	GLES.
MERAZINE	250MG	B/20	COMP.
MERCILON	0.02/0.15MG	B/21	COMP.
MERCUROCHROME	2%	FL/1 L	SOL.
MERCUROCHROME	2%	FL/100ML	SOL.AQ.
MERCUROSCEINE - GIFRER	2%	FL/45ML	SOL.
MERIDONE	10MG	BTE/30	COMP.PELLI
MESOPRAL	20MG	BTE/14	GLES MIC/GR
MESTINON	60MG	B/150	DRG.
MESTINON	60MG	B/20	COMP.
MESTINON	60MG	B/20	DRG.
METACARTIN	100MG/ML	FL/100 ML	SOL.BUV.
METAGYL	125MG/5ML	FL/125 ML	SUSP.BUV.
